ID,input2_BCUT2D_CHGHI,input2_BCUT2D_MRLOW,input2_EState_VSA2,input2_EState_VSA3,input2_EState_VSA4,input2_EState_VSA5,input2_EState_VSA8,input2_EState_VSA9,input2_FpDensityMorgan1,input2_FpDensityMorgan2,input2_FpDensityMorgan3,input2_MolLogP,input2_NHOHCount,input2_NOCount,input2_NumAliphaticHeterocycles,input2_NumAliphaticRings,input2_NumAromaticCarbocycles,input2_NumHAcceptors,input2_NumHDonors,input2_NumHeteroatoms,input2_NumHeterocycles,input2_NumSaturatedHeterocycles,input2_NumSaturatedRings,input2_PEOE_VSA2,input2_PEOE_VSA6,input2_PEOE_VSA7,input2_PEOE_VSA8,input2_SMR_VSA1,input2_SMR_VSA3,input2_SMR_VSA5,input2_SPS,input2_SlogP_VSA10,input2_SlogP_VSA3,input2_SlogP_VSA5,input2_TPSA,input2_VSA_EState1,input2_VSA_EState10,input2_VSA_EState3,input2_VSA_EState4,input2_VSA_EState5,input2_VSA_EState6,input2_VSA_EState9,input2_fr_Al_OH,input2_fr_Al_OH_noTert,input2_fr_HOCCN,input2_fr_aniline,input2_fr_benzene,input2_fr_ether,input2_fr_morpholine,input2_fr_para_hydroxylation,input2_fr_piperzine,input2_fr_unbrch_alkane,R_ratio,Polymer_MW,Target_norm
1,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,4,4200,2.176091259
2,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,2,4200,2.176091259
3,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,1,4200,2.176091259
4,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,0.5,4200,2.176091259
5,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,4,4200,2.176091259
6,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,2,4200,3.217483944
7,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,1,4200,3.217483944
8,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,0.5,4200,2.176091259
9,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,4,4200,3.217483944
10,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,2,4200,3.217483944
11,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,1,4200,3.217483944
12,2.305,-0.151,23.075,45.69,75.962,0,17.14,14.211,0.865,1.568,2.216,4.49,1,8,0,0,0,8,1,9,0,0,0,9.589,19.765,77.594,39.524,28.594,10.217,84.477,12.919,0,28.594,84.477,94.17,16.964,1.852,2.978,-0.334,2.147,0,5.729,0,0,0,0,0,3,0,0,0,3,0.5,4200,3.217483944
