ID,input1_AvgIpc,input1_BCUT2D_CHGHI,input1_BCUT2D_CHGLO,input1_BCUT2D_LOGPHI,input1_BCUT2D_LOGPLOW,input1_BCUT2D_MRHI,input1_BCUT2D_MRLOW,input1_BCUT2D_MWLOW,input1_BalabanJ,input1_BertzCT,input1_Chi0,input1_Chi0n,input1_Chi0v,input1_Chi1,input1_Chi1n,input1_Chi1v,input1_Chi2n,input1_Chi2v,input1_Chi3n,input1_Chi3v,input1_Chi4n,input1_Chi4v,input1_EState_VSA4,input1_EState_VSA7,input1_EState_VSA8,input1_ExactMolWt,input1_FpDensityMorgan1,input1_FpDensityMorgan2,input1_HallKierAlpha,input1_HeavyAtomCount,input1_HeavyAtomMolWt,input1_Ipc,input1_Kappa1,input1_Kappa2,input1_Kappa3,input1_LabuteASA,input1_MaxAbsEStateIndex,input1_MaxEStateIndex,input1_MinAbsEStateIndex,input1_MinEStateIndex,input1_MolLogP,input1_MolMR,input1_MolWt,input1_NOCount,input1_NumHAcceptors,input1_NumHeteroatoms,input1_NumRotatableBonds,input1_NumValenceElectrons,input1_PEOE_VSA1,input1_PEOE_VSA7,input1_PEOE_VSA8,input1_Phi,input1_SMR_VSA3,input1_SMR_VSA6,input1_SPS,input1_SlogP_VSA2,input1_TPSA,input1_VSA_EState2,input1_VSA_EState3,input1_VSA_EState8,input1_VSA_EState9,input1_qed,input1_fr_NH0,input1_fr_Ndealkylation1,input2_AvgIpc,input2_BCUT2D_CHGHI,input2_BCUT2D_CHGLO,input2_BCUT2D_LOGPHI,input2_BCUT2D_LOGPLOW,input2_BCUT2D_MWHI,input2_BCUT2D_MWLOW,input2_BalabanJ,input2_BertzCT,input2_Chi0,input2_Chi0n,input2_Chi0v,input2_Chi1,input2_Chi1n,input2_Chi1v,input2_Chi2n,input2_Chi2v,input2_Chi3n,input2_Chi3v,input2_Chi4n,input2_Chi4v,input2_EState_VSA2,input2_EState_VSA3,input2_EState_VSA4,input2_EState_VSA5,input2_EState_VSA8,input2_ExactMolWt,input2_FpDensityMorgan1,input2_FpDensityMorgan2,input2_FpDensityMorgan3,input2_FractionCSP3,input2_HeavyAtomCount,input2_HeavyAtomMolWt,input2_Ipc,input2_Kappa1,input2_Kappa2,input2_Kappa3,input2_LabuteASA,input2_MaxAbsEStateIndex,input2_MaxAbsPartialCharge,input2_MaxEStateIndex,input2_MinAbsEStateIndex,input2_MinEStateIndex,input2_MinPartialCharge,input2_MolLogP,input2_MolMR,input2_MolWt,input2_NumAtomStereoCenters,input2_NumRotatableBonds,input2_NumUnspecifiedAtomStereoCenters,input2_NumValenceElectrons,input2_PEOE_VSA6,input2_PEOE_VSA7,input2_PEOE_VSA8,input2_PEOE_VSA9,input2_Phi,input2_SMR_VSA5,input2_SMR_VSA6,input2_SPS,input2_SlogP_VSA2,input2_SlogP_VSA5,input2_VSA_EState1,input2_VSA_EState2,input2_VSA_EState5,input2_VSA_EState7,input2_VSA_EState8,input2_VSA_EState9,input2_qed,input2_fr_unbrch_alkane,S1_repeat,Target_norm
1,1.845,1.957,-2.171,1.812,-2.3,4.514,0.209,10.476,3.124,76.006,7.983,7.17,7.17,4.664,3.607,3.607,2.83,2.83,1.411,1.411,0.653,0.653,19.634,21.143,9.8,146.142,1,1.6,-0.12,10,128.09,125.486,9.88,5.649,6.007,63.243,8.547,8.547,0.254,0.254,-0.528,43.137,146.234,3,3,3,5,62,14.906,21.143,19.634,5.581,9.8,47.384,11.4,62.291,26.71,4.244,8.547,3.099,6.11,0.565,2,2,1.871,1.919,-1.964,1.992,-1.916,16.461,10.145,2.839,89.258,7.82,6.852,6.852,4.77,3.755,3.755,2.505,2.505,1.377,1.377,0.797,0.797,5.783,0,32.29,0,0,144.115,1.3,2,2.5,0.875,10,128.086,142.195,9.63,6.746,7.63,62.569,10.445,0.385,10.445,0.289,0.289,-0.385,1.782,41.025,144.214,0,6,0,60,6.421,19.765,20.138,0,6.496,32.607,13.717,9.8,19.5,32.607,4.864,10.445,0.289,3.916,2.453,1.699,0.531,2,3,4.362702684
2,1.845,1.957,-2.171,1.812,-2.3,4.514,0.209,10.476,3.124,76.006,7.983,7.17,7.17,4.664,3.607,3.607,2.83,2.83,1.411,1.411,0.653,0.653,19.634,21.143,9.8,146.142,1,1.6,-0.12,10,128.09,125.486,9.88,5.649,6.007,63.243,8.547,8.547,0.254,0.254,-0.528,43.137,146.234,3,3,3,5,62,14.906,21.143,19.634,5.581,9.8,47.384,11.4,62.291,26.71,4.244,8.547,3.099,6.11,0.565,2,2,2.257,2.067,-2.141,2.134,-2.104,16.474,10.031,3.397,166.118,12.226,11.258,11.258,7.702,6.725,6.725,4.655,4.655,3.018,3.018,1.934,1.934,5.783,12.525,19.262,32.104,6.924,228.209,1.062,1.688,2.25,0.929,16,200.152,2872.596,15.63,11.125,10.158,100.759,10.805,0.381,10.805,0.29,0.29,-0.381,4.121,68.705,228.376,1,11,1,96,39.028,26.186,13.531,6.104,10.868,77.739,7.11,12.688,18.997,71.635,5.427,10.805,0.29,10.801,3.895,1.782,0.497,4,5,4.140853935
3,1.349,1.8,-2.028,1.657,-2.151,4.338,0.243,10.642,2.627,28.729,4.992,4.309,4.309,2.77,2.027,2.027,1.527,1.527,0.547,0.547,0.2,0.2,6.545,18.995,0,89.084,1.5,2,-0.08,6,78.05,14.834,5.92,3.123,3.92,38.388,8.195,8.195,0.257,0.257,-0.46,25.64,89.138,2,2,2,2,38,10.006,14.095,6.545,3.082,4.9,27.247,10,37.253,23.47,1.931,8.195,1.021,3.854,0.495,1,1,1.871,1.919,-1.964,1.992,-1.916,16.461,10.145,2.839,89.258,7.82,6.852,6.852,4.77,3.755,3.755,2.505,2.505,1.377,1.377,0.797,0.797,5.783,0,32.29,0,0,144.115,1.3,2,2.5,0.875,10,128.086,142.195,9.63,6.746,7.63,62.569,10.445,0.385,10.445,0.289,0.289,-0.385,1.782,41.025,144.214,0,6,0,60,6.421,19.765,20.138,0,6.496,32.607,13.717,9.8,19.5,32.607,4.864,10.445,0.289,3.916,2.453,1.699,0.531,2,5,3.59678589
4,1.349,1.8,-2.028,1.657,-2.151,4.338,0.243,10.642,2.627,28.729,4.992,4.309,4.309,2.77,2.027,2.027,1.527,1.527,0.547,0.547,0.2,0.2,6.545,18.995,0,89.084,1.5,2,-0.08,6,78.05,14.834,5.92,3.123,3.92,38.388,8.195,8.195,0.257,0.257,-0.46,25.64,89.138,2,2,2,2,38,10.006,14.095,6.545,3.082,4.9,27.247,10,37.253,23.47,1.931,8.195,1.021,3.854,0.495,1,1,2.257,2.067,-2.141,2.134,-2.104,16.474,10.031,3.397,166.118,12.226,11.258,11.258,7.702,6.725,6.725,4.655,4.655,3.018,3.018,1.934,1.934,5.783,12.525,19.262,32.104,6.924,228.209,1.062,1.688,2.25,0.929,16,200.152,2872.596,15.63,11.125,10.158,100.759,10.805,0.381,10.805,0.29,0.29,-0.381,4.121,68.705,228.376,1,11,1,96,39.028,26.186,13.531,6.104,10.868,77.739,7.11,12.688,18.997,71.635,5.427,10.805,0.29,10.801,3.895,1.782,0.497,4,3,3.295755895
5,1.845,1.957,-2.171,1.812,-2.3,4.514,0.209,10.476,3.124,76.006,7.983,7.17,7.17,4.664,3.607,3.607,2.83,2.83,1.411,1.411,0.653,0.653,19.634,21.143,9.8,146.142,1,1.6,-0.12,10,128.09,125.486,9.88,5.649,6.007,63.243,8.547,8.547,0.254,0.254,-0.528,43.137,146.234,3,3,3,5,62,14.906,21.143,19.634,5.581,9.8,47.384,11.4,62.291,26.71,4.244,8.547,3.099,6.11,0.565,2,2,2.257,2.067,-2.141,2.134,-2.104,16.474,10.031,3.397,166.118,12.226,11.258,11.258,7.702,6.725,6.725,4.655,4.655,3.018,3.018,1.934,1.934,5.783,12.525,19.262,32.104,6.924,228.209,1.062,1.688,2.25,0.929,16,200.152,2872.596,15.63,11.125,10.158,100.759,10.805,0.381,10.805,0.29,0.29,-0.381,4.121,68.705,228.376,1,11,1,96,39.028,26.186,13.531,6.104,10.868,77.739,7.11,12.688,18.997,71.635,5.427,10.805,0.29,10.801,3.895,1.782,0.497,4,3,2.994725899
6,1.349,1.8,-2.028,1.657,-2.151,4.338,0.243,10.642,2.627,28.729,4.992,4.309,4.309,2.77,2.027,2.027,1.527,1.527,0.547,0.547,0.2,0.2,6.545,18.995,0,89.084,1.5,2,-0.08,6,78.05,14.834,5.92,3.123,3.92,38.388,8.195,8.195,0.257,0.257,-0.46,25.64,89.138,2,2,2,2,38,10.006,14.095,6.545,3.082,4.9,27.247,10,37.253,23.47,1.931,8.195,1.021,3.854,0.495,1,1,2.257,2.067,-2.141,2.134,-2.104,16.474,10.031,3.397,166.118,12.226,11.258,11.258,7.702,6.725,6.725,4.655,4.655,3.018,3.018,1.934,1.934,5.783,12.525,19.262,32.104,6.924,228.209,1.062,1.688,2.25,0.929,16,200.152,2872.596,15.63,11.125,10.158,100.759,10.805,0.381,10.805,0.29,0.29,-0.381,4.121,68.705,228.376,1,11,1,96,39.028,26.186,13.531,6.104,10.868,77.739,7.11,12.688,18.997,71.635,5.427,10.805,0.29,10.801,3.895,1.782,0.497,4,5,2.614514657
7,1.349,1.8,-2.028,1.657,-2.151,4.338,0.243,10.642,2.627,28.729,4.992,4.309,4.309,2.77,2.027,2.027,1.527,1.527,0.547,0.547,0.2,0.2,6.545,18.995,0,89.084,1.5,2,-0.08,6,78.05,14.834,5.92,3.123,3.92,38.388,8.195,8.195,0.257,0.257,-0.46,25.64,89.138,2,2,2,2,38,10.006,14.095,6.545,3.082,4.9,27.247,10,37.253,23.47,1.931,8.195,1.021,3.854,0.495,1,1,1.871,1.919,-1.964,1.992,-1.916,16.461,10.145,2.839,89.258,7.82,6.852,6.852,4.77,3.755,3.755,2.505,2.505,1.377,1.377,0.797,0.797,5.783,0,32.29,0,0,144.115,1.3,2,2.5,0.875,10,128.086,142.195,9.63,6.746,7.63,62.569,10.445,0.385,10.445,0.289,0.289,-0.385,1.782,41.025,144.214,0,6,0,60,6.421,19.765,20.138,0,6.496,32.607,13.717,9.8,19.5,32.607,4.864,10.445,0.289,3.916,2.453,1.699,0.531,2,3,2.614514657
8,1.845,1.957,-2.171,1.812,-2.3,4.514,0.209,10.476,3.124,76.006,7.983,7.17,7.17,4.664,3.607,3.607,2.83,2.83,1.411,1.411,0.653,0.653,19.634,21.143,9.8,146.142,1,1.6,-0.12,10,128.09,125.486,9.88,5.649,6.007,63.243,8.547,8.547,0.254,0.254,-0.528,43.137,146.234,3,3,3,5,62,14.906,21.143,19.634,5.581,9.8,47.384,11.4,62.291,26.71,4.244,8.547,3.099,6.11,0.565,2,2,2.348,2.069,-2.141,2.142,-2.104,16.474,10.025,3.352,189.536,13.64,12.672,12.672,8.702,7.725,7.725,5.362,5.362,3.518,3.518,2.288,2.288,0,18.308,19.262,44.946,6.924,256.24,0.944,1.5,2.056,0.938,18,224.174,7825.501,17.63,13.071,12.097,113.488,10.858,0.381,10.858,0.292,0.292,-0.381,4.901,77.939,256.43,1,13,1,108,51.869,26.186,13.531,6.104,12.802,90.58,7.11,12.611,18.997,84.477,5.466,10.858,0.292,13.673,3.919,1.791,0.438,6,3,2.693695903
9,1.845,1.957,-2.171,1.812,-2.3,4.514,0.209,10.476,3.124,76.006,7.983,7.17,7.17,4.664,3.607,3.607,2.83,2.83,1.411,1.411,0.653,0.653,19.634,21.143,9.8,146.142,1,1.6,-0.12,10,128.09,125.486,9.88,5.649,6.007,63.243,8.547,8.547,0.254,0.254,-0.528,43.137,146.234,3,3,3,5,62,14.906,21.143,19.634,5.581,9.8,47.384,11.4,62.291,26.71,4.244,8.547,3.099,6.11,0.565,2,2,1.871,1.919,-1.964,1.992,-1.916,16.461,10.145,2.839,89.258,7.82,6.852,6.852,4.77,3.755,3.755,2.505,2.505,1.377,1.377,0.797,0.797,5.783,0,32.29,0,0,144.115,1.3,2,2.5,0.875,10,128.086,142.195,9.63,6.746,7.63,62.569,10.445,0.385,10.445,0.289,0.289,-0.385,1.782,41.025,144.214,0,6,0,60,6.421,19.765,20.138,0,6.496,32.607,13.717,9.8,19.5,32.607,4.864,10.445,0.289,3.916,2.453,1.699,0.531,2,5,2.517604644
10,1.349,1.8,-2.028,1.657,-2.151,4.338,0.243,10.642,2.627,28.729,4.992,4.309,4.309,2.77,2.027,2.027,1.527,1.527,0.547,0.547,0.2,0.2,6.545,18.995,0,89.084,1.5,2,-0.08,6,78.05,14.834,5.92,3.123,3.92,38.388,8.195,8.195,0.257,0.257,-0.46,25.64,89.138,2,2,2,2,38,10.006,14.095,6.545,3.082,4.9,27.247,10,37.253,23.47,1.931,8.195,1.021,3.854,0.495,1,1,2.348,2.069,-2.141,2.142,-2.104,16.474,10.025,3.352,189.536,13.64,12.672,12.672,8.702,7.725,7.725,5.362,5.362,3.518,3.518,2.288,2.288,0,18.308,19.262,44.946,6.924,256.24,0.944,1.5,2.056,0.938,18,224.174,7825.501,17.63,13.071,12.097,113.488,10.858,0.381,10.858,0.292,0.292,-0.381,4.901,77.939,256.43,1,13,1,108,51.869,26.186,13.531,6.104,12.802,90.58,7.11,12.611,18.997,84.477,5.466,10.858,0.292,13.673,3.919,1.791,0.438,6,5,2.392665908
