ID,input1_BCUT2D_CHGHI,input1_BCUT2D_CHGLO,input1_BCUT2D_LOGPHI,input1_BCUT2D_LOGPLOW,input1_BCUT2D_MRHI,input1_BCUT2D_MWHI,input1_BCUT2D_MWLOW,input1_BalabanJ,input1_Chi2n,input1_Chi2v,input1_Chi3n,input1_Chi3v,input1_EState_VSA2,input1_EState_VSA7,input1_EState_VSA8,input1_EState_VSA9,input1_FpDensityMorgan1,input1_FpDensityMorgan2,input1_FpDensityMorgan3,input1_HallKierAlpha,input1_Ipc,input1_Kappa2,input1_Kappa3,input1_MaxAbsEStateIndex,input1_MaxAbsPartialCharge,input1_MaxEStateIndex,input1_MinAbsEStateIndex,input1_MinAbsPartialCharge,input1_MinEStateIndex,input1_MinPartialCharge,input1_MolLogP,input1_NOCount,input1_NumAtomStereoCenters,input1_NumHAcceptors,input1_NumHeteroatoms,input1_NumRotatableBonds,input1_NumUnspecifiedAtomStereoCenters,input1_PEOE_VSA1,input1_PEOE_VSA6,input1_PEOE_VSA7,input1_PEOE_VSA9,input1_Phi,input1_SMR_VSA1,input1_SMR_VSA4,input1_SMR_VSA5,input1_SMR_VSA6,input1_SPS,input1_SlogP_VSA2,input1_SlogP_VSA3,input1_SlogP_VSA4,input1_SlogP_VSA5,input1_TPSA,input1_VSA_EState1,input1_VSA_EState4,input1_VSA_EState6,input1_VSA_EState8,input1_qed,input1_fr_ether,input4_BCUT2D_CHGHI,input4_BCUT2D_CHGLO,input4_BCUT2D_LOGPHI,input4_BCUT2D_LOGPLOW,input4_BCUT2D_MRHI,input4_BCUT2D_MWHI,input4_BCUT2D_MWLOW,input4_BalabanJ,input4_Chi2n,input4_Chi2v,input4_Chi3n,input4_Chi3v,input4_EState_VSA2,input4_EState_VSA7,input4_EState_VSA8,input4_EState_VSA9,input4_FpDensityMorgan1,input4_FpDensityMorgan2,input4_FpDensityMorgan3,input4_HallKierAlpha,input4_Ipc,input4_Kappa2,input4_Kappa3,input4_MaxAbsEStateIndex,input4_MaxAbsPartialCharge,input4_MaxEStateIndex,input4_MinAbsEStateIndex,input4_MinAbsPartialCharge,input4_MinEStateIndex,input4_MinPartialCharge,input4_MolLogP,input4_NOCount,input4_NumAtomStereoCenters,input4_NumHAcceptors,input4_NumHeteroatoms,input4_NumRotatableBonds,input4_NumUnspecifiedAtomStereoCenters,input4_PEOE_VSA1,input4_PEOE_VSA6,input4_PEOE_VSA7,input4_PEOE_VSA9,input4_Phi,input4_SMR_VSA1,input4_SMR_VSA4,input4_SMR_VSA5,input4_SMR_VSA6,input4_SPS,input4_SlogP_VSA2,input4_SlogP_VSA3,input4_SlogP_VSA4,input4_SlogP_VSA5,input4_TPSA,input4_VSA_EState1,input4_VSA_EState4,input4_VSA_EState6,input4_VSA_EState8,input4_qed,input4_fr_ether,R_ratio,Target_norm
1,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1,6.058646174
2,1.924,-2.026,1.878,-2.216,4.561,14.641,10.165,2.832,1.746,1.746,1.062,1.062,0,0,6.924,11.467,1.571,2.143,2.286,-0.08,31.917,4.089,3.758,5.503,0.33,5.503,0.324,0.005,0.324,-0.33,0.072,2,1,2,2,3,1,11.467,6.924,19.386,0,4.042,0,11.467,25.807,6.545,14.143,12.587,0,0,19.765,52.04,0,10.728,0.324,2.787,0.53,0,1.924,-2.026,1.878,-2.216,4.561,14.641,10.165,2.832,1.746,1.746,1.062,1.062,0,0,6.924,11.467,1.571,2.143,2.286,-0.08,31.917,4.089,3.758,5.503,0.33,5.503,0.324,0.005,0.324,-0.33,0.072,2,1,2,2,3,1,11.467,6.924,19.386,0,4.042,0,11.467,25.807,6.545,14.143,12.587,0,0,19.765,52.04,0,10.728,0.324,2.787,0.53,0,1,4.473991934
3,2.102,-2.176,2.07,-2.311,4.68,14.648,9.946,3.36,2.572,2.572,1.105,1.105,5.415,13.847,0,11.467,1.143,1.429,1.429,-0.08,26.839,2.285,2.596,5.337,0.33,5.337,0.139,0.001,0.139,-0.33,-0.07,2,0,2,2,2,0,11.467,13.847,18.505,0,2.258,0,16.882,13.847,13.09,12,13.09,0,5.415,13.847,52.04,0,10.812,0,5.438,0.513,0,2.102,-2.176,2.07,-2.311,4.68,14.648,9.946,3.36,2.572,2.572,1.105,1.105,5.415,13.847,0,11.467,1.143,1.429,1.429,-0.08,26.839,2.285,2.596,5.337,0.33,5.337,0.139,0.001,0.139,-0.33,-0.07,2,0,2,2,2,0,11.467,13.847,18.505,0,2.258,0,16.882,13.847,13.09,12,13.09,0,5.415,13.847,52.04,0,10.812,0,5.438,0.513,0,1,-1
4,1.89,-2.046,1.792,-2.147,4.349,16.541,10.654,2.758,2.414,2.414,1.268,1.268,0,0,0,25.678,0.538,0.846,1.154,-0.2,812.703,11.8,11.8,5.227,0.378,5.227,0.555,0.07,0.555,-0.378,-1.046,5,0,5,5,10,0,25.678,0,0,39.641,11.618,14.211,11.467,0,52.731,10.615,52.731,14.211,0,0,79.73,15.395,10.453,0,4.652,0.432,3,1.89,-2.046,1.792,-2.147,4.349,16.541,10.654,2.758,2.414,2.414,1.268,1.268,0,0,0,25.678,0.538,0.846,1.154,-0.2,812.703,11.8,11.8,5.227,0.378,5.227,0.555,0.07,0.555,-0.378,-1.046,5,0,5,5,10,0,25.678,0,0,39.641,11.618,14.211,11.467,0,52.731,10.615,52.731,14.211,0,0,79.73,15.395,10.453,0,4.652,0.432,3,9,4.918928505
5,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1,5.489231901
6,1.924,-2.026,1.878,-2.216,4.561,14.641,10.165,2.832,1.746,1.746,1.062,1.062,0,0,6.924,11.467,1.571,2.143,2.286,-0.08,31.917,4.089,3.758,5.503,0.33,5.503,0.324,0.005,0.324,-0.33,0.072,2,1,2,2,3,1,11.467,6.924,19.386,0,4.042,0,11.467,25.807,6.545,14.143,12.587,0,0,19.765,52.04,0,10.728,0.324,2.787,0.53,0,1.924,-2.026,1.878,-2.216,4.561,14.641,10.165,2.832,1.746,1.746,1.062,1.062,0,0,6.924,11.467,1.571,2.143,2.286,-0.08,31.917,4.089,3.758,5.503,0.33,5.503,0.324,0.005,0.324,-0.33,0.072,2,1,2,2,3,1,11.467,6.924,19.386,0,4.042,0,11.467,25.807,6.545,14.143,12.587,0,0,19.765,52.04,0,10.728,0.324,2.787,0.53,0,1,5.399745906
7,1.89,-2.046,1.792,-2.147,4.349,16.541,10.654,2.758,2.414,2.414,1.268,1.268,0,0,0,25.678,0.538,0.846,1.154,-0.2,812.703,11.8,11.8,5.227,0.378,5.227,0.555,0.07,0.555,-0.378,-1.046,5,0,5,5,10,0,25.678,0,0,39.641,11.618,14.211,11.467,0,52.731,10.615,52.731,14.211,0,0,79.73,15.395,10.453,0,4.652,0.432,3,1.89,-2.046,1.792,-2.147,4.349,16.541,10.654,2.758,2.414,2.414,1.268,1.268,0,0,0,25.678,0.538,0.846,1.154,-0.2,812.703,11.8,11.8,5.227,0.378,5.227,0.555,0.07,0.555,-0.378,-1.046,5,0,5,5,10,0,25.678,0,0,39.641,11.618,14.211,11.467,0,52.731,10.615,52.731,14.211,0,0,79.73,15.395,10.453,0,4.652,0.432,3,1,5.399745906
8,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,9,5.435073868
9,1.946,-2.04,1.998,-2.117,4.518,14.547,10.071,2.862,2.272,2.272,1.303,1.303,0,0,6.924,11.467,1.375,2,2.375,-0.08,56.626,5.065,4.089,5.372,0.33,5.372,0.651,0.005,0.651,-0.33,0.32,2,1,2,2,4,1,11.467,6.924,31.849,0,5.014,0,17.385,19.765,13.09,13.875,13.09,0,5.918,19.765,52.04,0,10.663,0,3.736,0.555,0,1.946,-2.04,1.998,-2.117,4.518,14.547,10.071,2.862,2.272,2.272,1.303,1.303,0,0,6.924,11.467,1.375,2,2.375,-0.08,56.626,5.065,4.089,5.372,0.33,5.372,0.651,0.005,0.651,-0.33,0.32,2,1,2,2,4,1,11.467,6.924,31.849,0,5.014,0,17.385,19.765,13.09,13.875,13.09,0,5.918,19.765,52.04,0,10.663,0,3.736,0.555,0,2.333333333,5.185196395
10,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,1.672,-1.807,1.579,-2.064,4.332,14.572,10.45,2.191,0.931,0.931,0.408,0.408,0,0,0,11.467,1,1.4,1.4,-0.08,11.245,3.92,3.92,5.059,0.33,5.059,0.719,0.007,0.719,-0.33,-0.706,2,0,2,2,2,0,11.467,0,19.51,0,3.857,0,11.467,6.421,13.09,8.4,13.09,0,0,6.421,52.04,0,10.118,0,1.438,0.455,0,2.333333333,5.622330125
